Product ID,Product Name,Category,Price (USD),Stock Quantity,Rating,Description
1,Nike Air Max 270,Footwear,149.99,34,4.6,Lightweight sneakers with breathable mesh design.
2,Apple iPhone 15,Electronics,999.0,15,4.9,Latest iPhone with A17 chip and OLED display.
3,Samsung Galaxy S24,Electronics,899.0,20,4.8,Flagship Android smartphone with AI camera.
4,Adidas Ultraboost 22,Footwear,180.0,27,4.7,Running shoes with energy-returning cushioning.
5,Sony WH-1000XM5,Audio,399.99,40,4.9,Noise-cancelling wireless headphones.
6,Dell XPS 13 Laptop,Computers,1249.0,12,4.8,Compact ultrabook with Intel i7 processor.
7,Logitech MX Master 3,Accessories,99.99,80,4.7,Ergonomic wireless mouse with fast scroll.
8,Apple Watch Series 9,Wearables,499.0,25,4.8,Smartwatch with heart rate and fitness tracking.
9,Amazon Echo Dot 5th Gen,Smart Home,49.99,100,4.6,Smart speaker with Alexa voice assistant.
10,Canon EOS R8,Cameras,1499.0,10,4.9,Mirrorless camera for high-quality photography.
11,HP Envy 5055 Printer,Office,129.0,22,4.4,All-in-one wireless printer and scanner.
12,Nike Dri-FIT Tee,Clothing,29.99,60,4.5,Moisture-wicking athletic t-shirt.
13,Samsung 65” QLED TV,Electronics,1199.0,8,4.8,4K UHD Smart TV with vivid QLED display.
14,Bose SoundLink Flex,Audio,149.0,50,4.7,Portable Bluetooth speaker with deep bass.
15,Asus ROG Strix G16,Computers,1699.0,9,4.9,Gaming laptop with RTX 4070 GPU.
16,Levi’s 511 Slim Fit Jeans,Clothing,59.99,70,4.5,Stretch denim jeans with modern fit.
17,Fitbit Charge 6,Wearables,179.99,30,4.6,Fitness tracker with heart and sleep monitor.
18,GoPro Hero 12,Cameras,499.0,18,4.7,Waterproof action camera with 5.3K video.
19,Kindle Paperwhite,Smart Home,139.99,25,4.8,E-reader with adjustable warm light.
20,Beats Studio Pro,Audio,349.99,35,4.6,Wireless over-ear headphones with ANC.
21,Google Pixel 8 Pro,Electronics,1099.0,14,4.8,AI-powered Android smartphone with 50MP camera.
22,Sony PlayStation 5,Gaming,499.99,11,4.9,Next-gen gaming console with 4K graphics.
23,Xbox Series X,Gaming,499.99,13,4.8,High-performance gaming console by Microsoft.
24,Razer BlackWidow V4,Accessories,189.99,45,4.7,Mechanical gaming keyboard with RGB lighting.
25,Crocs Classic Clog,Footwear,49.99,120,4.4,Comfortable slip-on clogs for everyday wear.
